City 1,City 2,Heuristic
Coimbatore,Chandigarh,2160
Delhi,Chandigarh,248
Gwalior,Chandigarh,462
Hubli,Chandigarh,1567
Hyderabad,Chandigarh,1594
Imphal,Chandigarh,2782
Indore,Chandigarh,912
Jabalpur,Chandigarh,1046
Jaipur,Chandigarh,507
Jamshedpur,Chandigarh,1528
Jullundur,Chandigarh,154
Kanpur,Chandigarh,661
Kolhapur,Chandigarh,1782
Lucknow,Chandigarh,740
Ludhiana,Chandigarh,105
Madras,Chandigarh,2099
Madurai,Chandigarh,2264
Meerut,Chandigarh,314
Nagpur,Chandigarh,1118
Nasik,Chandigarh,1326
Panjim,Chandigarh,1757
Patna,Chandigarh,1248
Pondicherry,Chandigarh,1931
Pune,Chandigarh,1535
Ranchi,Chandigarh,1384
Shillong,Chandigarh,2267
Shimla,Chandigarh,99
Surat,Chandigarh,1325
Trivandrum,Chandigarh,2183
Varanasi,Chandigarh,976
Vijayawada,Chandigarh,1860
Vishakapatnam,Chandigarh,2028
Agartala,Cochin,3635
Agra,Cochin,2064
Ahmedabad,Cochin,1845
Allahabad,Cochin,1607
Amritsar,Cochin,2204
Asansol,Cochin,1998
Bangalore,Cochin,512
Baroda,Cochin,1726
Bhopal,Cochin,1660
Bhubaneshwar,Cochin,1828
Bombay,Cochin,1360
Calcutta,Cochin,1772
Calicut,Cochin,222
Chandigarh,Cochin,1965
Coimbatore,Cochin,195
Delhi,Cochin,2097
Gwalior,Cochin,1881
Hubli,Cochin,774
Hyderabad,Cochin,1075
Imphal,Cochin,3489
Indore,Cochin,1804
Jabalpur,Cochin,1808
Jaipur,Cochin,1834
Jamshedpur,Cochin,2040
Jullundur,Cochin,2119
Kanpur,Cochin,1800
Kolhapur,Cochin,934
Lucknow,Cochin,1841
Ludhiana,Cochin,2070
Madras,Cochin,621
Madurai,Cochin,326
Meerut,Cochin,2161
Nagpur,Cochin,1551
Nasik,Cochin,1390
Panjim,Cochin,798
Patna,Cochin,2009
Pondicherry,Cochin,530
Pune,Cochin,1181
Ranchi,Cochin,2186
Shillong,Cochin,2384
Shimla,Cochin,2064
Surat,Cochin,1593
Trivandrum,Cochin,218
Varanasi,Cochin,2115
